russian,english
"У вас всегда подготовлены заклинания Приворот гуманоида и Зеркальное отражение.<br><br>Кроме того, сразу после того, как вы произнёсете заклинание школы подчинения или иллюзии, используя ячейка заклинание, вы можете заставить Существо, которое вы видите в пределах [1] от себя, совершить испытание Мудрости против вашего КС испытаний против заклинаний. При провале испытание цель имеет состояние Очарованный или Испуганный (на ваш выбор) в течение 1 минуты","You always have the Charm Person and Mirror Image spells prepared.<br><br>In addition, immediately after you cast an Enchantment or Illusion spell using a spell slot, you can cause a creature you can see within [1] of yourself to make a Wisdom saving throw against your spell save DC. On a failed save, the target has the Charmed or Frightened condition (your choice) for 1 minute"
Чарующая магия: Очарованный,Beguiling Magic: Charmed
Чарующая магия: Испуганный,Beguiling Magic: Frightend
Уровень 3: Мантия вдохновения,Level 3: Mantle of Inspiration
"Вы можете вплетать фейскую магию в песню или танец, чтобы наполнить других энергией. В качестве бонусное действие вы можете потратить одно использование Бардовское вдохновение и бросить Заряд Бардовского вдохновения. Когда вы это делаете, выберите количество других Существа в пределах [1] от себя, равное вашему модификатору Харизма (минимум одно Существо).<br><br>Каждое из этих Существа получает временные ОЗ, равные удвоенному числу, выпавшему на Заряд Бардовского вдохновения, и каждое может перемещаться, не вызывая внеочередные атаки до конца своего следующего хода.","You can weave fey magic into a song or dance to fill others with vigor. As a Bonus Action, you can expend one use of Bardic Inspiration and roll your Bardic Inspiration die. When you do so, choose a number of other creatures within [1] of yourself, up to your Charisma modifier (minimum of one creature).<br><br>Each of those creatures gains Temporary Hit Points equal to twice the number rolled on the Bardic Inspiration die, and each can move without provoking Opportunity Attacks until the end of its next turn."
"Каждое из этих Существа получает временные ОЗ, равные удвоенному числу, выпавшему на Заряд Бардовского вдохновения, и каждое может перемещаться, не вызывая внеочередные атаки до конца своего следующего хода.","Each of those creatures gains Temporary Hit Points equal to twice the number rolled on the Bardic Inspiration die, and each can move without provoking Opportunity Attacks until the end of its next turn."
"Существа получают временные ОЗ, равные удвоенному числу, выпавшему на Заряд Бардовского вдохновения, и каждое может перемещаться, не вызывая внеочередные атаки до конца своего следующего хода.","Creatures gains Temporary Hit Points equal to twice the number rolled on the Bardic Inspiration die, and each can move without provoking Opportunity Attacks until the end of its next turn."
Уровень 3: Острые слова,Level 3: Cutting Words
Дополнительная атака (фокус),Extra Attack (Cantrip)
"Вы можете атаковать дважды вместо одного, когда совершаете действие Атака в течение своего хода.<br><br>Кроме того, вы можете произнести один из ваших фокусы, время колдовства которого занимает действие, вместо одной из этих атак.","You can attack twice instead of once whenever you take the Attack action on your turn.<br><br>In addition, you can cast one of your cantrips that has a casting time of an action in place of one of those attacks."
Помощь,Aid
Выберите до трёх Существа в пределах дальности. Максимум и текущие ОЗ каждой цели увеличиваются на [1] в течение длительности.,Choose up to three creatures within range. Each target’s Hit Point maximum and current Hit Points increase by [1] for the duration.
Увеличьте максимум ОЗ своих союзников на [1].,Increase your allies' hit point maximum by [1].
Слово сияния,Word of Radiance
Уровень 1: Божественный приказ: Защитник,Level 1: Divine Order: Protector
"Защитник: Опробованный в бою, вы получаете умение с воинское оружие и тренировку с тяжёлые доспехи.","Protector: Trained for battle, you gain proficiency with Martial weapons and training with Heavy armor."
"Чудотворец: Вы знаете один дополнительный фокус из списка заклинаний жрец. Кроме того, ваша мистическая связь с божественным даёт вам бонус к проверкам Интеллект (Магия или Религия). Бонус равен вашему модификатору Мудрость (минимум +1).","Thaumaturge: You know one extra cantrip from the Cleric spell list. In addition, your mystical connection to the divine gives you a bonus to your Intelligence (Arcana or Religion) checks. The bonus equals your Wisdom modifier (minimum of +1)."
Наставление,Guidance
Свет,Light
Взрыв сухожилий,Bursting Sinew
Сопротивление,Resistance
Священное пламя,Sacred Flame
Уход за умирающим,Spare the Dying
Тавматургия,Thaumaturgy
Погребальный звон,Toll the Dead
Божественный приказ,Divine Order
Вы посвятили себя одной из следующих святых ролей по своему выбору.,You have dedicated yourself to one of the following sacred roles of your choice.
Уровень 1: Божественный приказ: Слово сияния,Level 1: Divine Order: Word of Radiance
Уровень 1: Божественный приказ: Наставление,Level 1: Divine Order: Guidance
Уровень 1: Божественный приказ: Свет,Level 1: Divine Order: Light
Уровень 1: Божественный приказ: Взрыв сухожилий,Level 1: Divine Order: Bursting Sinew
Уровень 1: Божественный приказ: Сопротивление,Level 1: Divine Order: Resistance
Уровень 1: Божественный приказ: Священное пламя,Level 1: Divine Order: Sacred Flame
Уровень 1: Божественный приказ: Уход за умирающим,Level 1: Divine Order: Spare the Dying
Уровень 1: Божественный приказ: Тавматургия,Level 1: Divine Order: Thaumaturgy
Уровень 1: Божественный приказ: Погребальный звон,Level 1: Divine Order: Toll the Dead
Уровень 2: Направление божественной энергии,Level 2: Channel Divinity
"Вы можете направлять божественную энергию для создания особых эффектов, таких как Божественная искра и Искупление нежити, выбирая по одному каждый раз при использовании направления божественной энергии. Дополнительные эффекты и использования становятся доступны на более высоких уровнях жреца. Вы восстанавливаете одно использование после короткого отдыха и все использования после долгого отдыха. Сложность испытания спасения (DC) зависит от DC накладывания заклинаний.","You can channel divine energy to create special effects such as Divine Spark and Turn Undead, choosing one each time you use Channel Divinity. Additional effects and uses are gained at higher Cleric levels. You regain one use on a Short Rest and all uses on a Long Rest. Saving throw DCs use your Spellcasting DC."
Божественная искра,Divine Spark
"Действием Магия вы направляете свой священный символ на другое существо, которое видите в пределах [1] от себя, и сосредотачиваете на нём божественную энергию. Вы либо восстанавливаете существу ОЗ, либо заставляете его совершить испытание Телосложения. При провале существо получает урон некротической энергией или урон излучением (на ваш выбор). При успехе оно получает только половину этого урона (округление вниз).","As a Magic action, you point your Holy Symbol at another creature you can see within [1] of yourself and focus divine energy at it. You either restore Hit Points to the creature or force the creature to make a Constitution saving throw. On a failed save, the creature takes Necrotic or Radiant damage (your choice). On a successful save, the creature takes half as much damage (round down)."
Божественная искра: Полное исцеление,Divine Spark: Heal
Вы восстанавливаете ОЗ существу.,You restore Hit Points to a creature.
Божественная искра: урон излучением,Divine Spark: Radiant Damage
Вы наносите урон существу.,You deal damage to a creature.
Божественная искра: урон некротической энергией,Divine Spark: Necrotic Damage
Уровень 7: Благословенные удары: Божественный удар (Лучевой),Level 7: Blessed Strikes: Divine Strike (Radiant)
"Один раз за каждый свой ход, когда вы попадаете в существо броском атаки оружием, вы можете заставить цель получить дополнительный [1]","Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra [1]"
Уровень 7: Благословенные удары: Божественный удар (Некротическим),Level 7: Blessed Strikes: Divine Strike (Necrotic)
"Один раз за каждый свой ход, когда вы попадаете в существо броском атаки оружием, вы можете заставить цель получить дополнительный 1d8 некротической энергией.","Once on each of your turns when you hit a creature with an attack roll using a weapon, you can cause the target to take an extra 1d8 Necrotic."
Уровень 7: Благословенные удары: Мощное заклинание,Level 7: Blessed Strikes: Potent Spellcasting
"Мощное заклинание. Добавьте модификатор Мудрости к урону, который вы наносите любым фокусом жреца.",Potent Spellcasting. Add your Wisdom modifier to the damage you deal with any Cleric cantrip.
Благословенные удары,Blessed Strikes
Божественная сила усиливает вас в бою. Вы получаете один из следующих вариантов на ваш выбор.,Divine power infuses you in battle. You gain one of the following options of your choice.
Уровень 5: Выжигание нежити,Level 5: Sear Undead
"Исцелите существо в пределах действия, у которого 0 ОЗ и которое не мертво.",Heal a creature within range that has 0 Hit Points and isn’t dead.
"Раскаленное сияние извергается из вас в [1] радиуса эманации. Каждое существо вашего выбора, которое вы можете видеть в нем, должно успешно пройти испытание Телосложения или получить урон излучением.",Burning radiance erupts from you in a [1] Emanation. Each creature of your choice that you can see in it must succeed on a Constitution saving throw or take Radiant damage.
Уровень 3: Ученик жизни,Level 3: Disciple of Life
"Когда заклинание, наложенное с использованием ячейки заклинания, восстанавливает ОЗ существу, это существо восстанавливает дополнительные ОЗ в ход, когда вы налагаете заклинание. Дополнительные ОЗ равны 2 плюс уровню ячейки заклинания.","When a spell you cast with a spell slot restores Hit Points to a creature, that creature regains additional Hit Points on the turn you cast the spell. The additional Hit Points equal 2 plus the spell slot’s level."
Уровень 6: Благословенный целитель,Level 6: Blessed Healer
"Лечебные заклинания, которые вы накладываете на других, исцеляют вас тоже. Непосредственно после того, как вы накладываете заклинание с использованием ячейки заклинания, которое восстанавливает ОЗ одному или более существам, кроме себя, вы восстанавливаете ОЗ, равные 2 плюс уровню ячейки заклинания.","The healing spells you cast on others heal you as well. Immediately after you cast a spell with a spell slot that restores Hit Points to one or more creatures other than yourself, you regain Hit Points equal to 2 plus the spell slot’s level."
Сохранение жизни,Preserve Life
"Как действие Магия, вы предъявляете свой священный символ и расходуете использование вашего направления божественной энергии для вызова целительной энергии, способной восстановить количество ОЗ, равное пятикратному вашему уровню жреца. Выберите раненых существ в пределах [1] от себя (включая себя) и распределите эти ОЗ между ними.","As a Magic action, you present your Holy Symbol and expend a use of your Channel Divinity to evoke healing energy that can restore a number of Hit Points equal to five times your Cleric level. Choose Bloodied creatures within [1] of yourself (which can include you), and divide those Hit Points among them."
Раненые,Blooded
ОЗ этого существа упали ниже 50%.,This creature’s Hit Points have dropped below 50%.
Направление божественной энергии,Channel Divinity
"Количество раз, когда вы можете направлять свою божественную силу.",The number of times you can channel your divine powers.
Уровень 3: Защитная вспышка,Level 3: Warding Flare
"Когда существо, которое вы можете видеть в пределах [1] от себя, совершает бросок атаки, вы можете совершить реакцию, чтобы наложить помеху на бросок атаки, заставив свет вспыхнуть до того, как он попадет или промахнется.<br><br>Вы можете использовать эту особенность количество раз, равное модификатору вашей Мудрости (не менее одного раза). Вы восполняете все израсходованные использования, когда заканчиваете долгий отдых.","When a creature that you can see within [1] of yourself makes an attack roll, you can take a Reaction to impose Disadvantage on the attack roll, causing light to flare before it hits or misses.<br><br>You can use this feature a number of times equal to your Wisdom modifier (minimum of once). You regain all expended uses when you finish a Long Rest."
Уровень 6: Улучшенная защитная вспышка,Level 6: Improved Warding Flare
"Вы восстанавливаете все израсходованные использования вашей Защитной вспышки, когда завершаете короткий или долгий отдых.<br><br>Кроме того, всякий раз, когда вы используете Защитную вспышку, вы можете дать цели атаки, вызвавшей срабатывание, количество временных ОЗ, равное 2к6 плюс ваш модификатор Мудрости.","You regain all expended uses of your Warding Flare when you finish a Short or Long Rest.<br><br>In addition, whenever you use Warding Flare, you can give the target of the triggering attack a number of Temporary Hit Points equal to 2d6 plus your Wisdom modifier."
Защитная вспышка,Warding Flare
"Когда существо, которое вы видите в пределах 30 футов от вас, делает бросок атаки, вы можете совершить реакцию, чтобы наложить помеху на бросок атаки, вызывая вспыхивание света перед тем, как он попадет или промахнется.","When a creature that you can see within 30 feet of yourself makes an attack roll, you can take a Reaction to impose Disadvantage on the attack roll, causing light to flare before it hits or misses."
Защитная вспышка (Союзник),Warding Flare (Ally)
Защитная вспышка (На себя),Warding Flare (Self)
Уровень 3: Призыв двойника,Level 3: Invoke Duplicity
"Как бонусное действие, вы можете использовать одно использование своего Направления божественной энергии, чтобы создать идеальную визуальную иллюзию себя в незанятом пространстве, которое вы видите в пределах [1]. Иллюзия длится 1 минуту. Как бонусное действие, вы можете переместить иллюзию до [1] в другое незанятое пространство, которое вы видите.","As a Bonus Action, you can expend one use of your Channel Divinity to create a perfect visual illusion of yourself in an unoccupied space you can see within [1]. The illusion lasts for 1 minute. As a Bonus Action, you can move the illusion up to [1] to another unoccupied space you can see."
